origen,destino
0,10
0,17
0,30
0,53
0,63
0,77
0,99
0,101
0,103
0,105
0,107
0,112
0,114
0,120
0,122
0,128
0,141
0,146
0,153
0,168
0,176
0,179
0,190
0,198
0,203
0,204
0,214
0,215
0,218
0,225
1,9
1,12
1,13
1,28
1,29
1,32
1,36
1,37
1,38
1,44
1,62
1,64
1,69
1,79
1,123
1,139
1,140
1,164
1,172
1,191
1,196
2,17
2,27
2,54
2,63
2,75
2,77
2,86
2,89
2,96
2,118
2,123
2,135
2,136
2,141
2,144
2,146
2,149
2,163
2,165
2,170
2,173
2,179
2,188
2,203
3,18
3,43
3,44
3,45
3,61
3,69
3,73
3,81
3,116
3,119
3,121
3,133
3,138
3,140
3,141
3,142
3,144
3,152
3,154
3,161
3,167
3,168
3,179
3,180
3,203
3,210
3,213
3,221
4,13
4,22
4,23
4,46
4,55
4,58
4,65
4,67
4,69
4,70
4,71
4,98
4,112
4,133
4,141
4,144
4,159
4,164
4,171
4,178
4,199
4,226
4,227
5,12
5,13
5,36
5,47
5,73
5,76
5,89
5,96
5,111
5,135
5,150
5,159
5,160
5,161
5,168
5,189
5,193
5,207
5,211
5,226
6,40
6,55
6,62
6,73
6,82
6,84
6,88
6,90
6,93
6,109
6,118
6,121
6,137
6,139
6,180
6,183
6,184
6,189
6,207
6,220
6,225
7,16
7,25
7,48
7,76
7,85
7,87
7,108
7,113
7,151
7,164
7,167
7,176
7,179
7,183
7,194
7,195
7,201
7,202
7,216
8,12
8,14
8,25
8,55
8,72
8,75
8,84
8,91
8,95
8,96
8,109
8,118
8,120
8,140
8,161
8,181
8,197
8,203
8,210
8,217
8,220
9,17
9,29
9,31
9,36
9,61
9,65
9,70
9,79
9,85
9,99
9,121
9,128
9,135
9,136
9,138
9,141
9,162
9,166
9,174
9,215
10,12
10,16
10,21
10,55
10,70
10,72
10,99
10,106
10,109
10,119
10,141
10,190
10,191
10,193
10,206
10,208
10,209
10,212
10,220
10,225
11,27
11,45
11,57
11,60
11,67
11,70
11,80
11,83
11,84
11,90
11,91
11,110
11,120
11,135
11,139
11,146
11,155
11,200
11,208
11,209
11,213
11,221
11,223
12,28
12,36
12,92
12,96
12,119
12,126
12,127
12,141
12,155
12,161
12,162
12,165
12,177
12,179
12,201
12,206
12,221
13,16
13,47
13,48
13,64
13,76
13,77
13,115
13,125
13,126
13,144
13,153
13,167
13,188
13,194
13,196
13,209
13,218
14,21
14,35
14,41
14,57
14,71
14,78
14,98
14,119
14,123
14,138
14,148
14,155
14,156
14,157
14,168
14,178
14,183
14,204
14,208
14,211
14,214
15,21
15,39
15,55
15,64
15,79
15,87
15,132
15,141
15,147
15,172
15,173
15,175
15,178
15,224
15,225
16,17
16,26
16,28
16,37
16,40
16,43
16,53
16,55
16,58
16,61
16,63
16,88
16,98
16,123
16,125
16,129
16,131
16,152
16,156
16,159
16,180
16,201
16,206
16,213
16,215
16,216
16,226
17,30
17,31
17,33
17,37
17,40
17,57
17,58
17,60
17,74
17,83
17,86
17,91
17,99
17,114
17,131
17,143
17,146
17,147
17,159
17,172
17,174
17,175
17,192
17,197
17,200
17,222
17,223
18,38
18,43
18,46
18,51
18,57
18,82
18,87
18,95
18,97
18,108
18,115
18,117
18,142
18,150
18,156
18,157
18,158
18,170
18,177
18,179
18,190
18,202
18,206
18,208
18,228
19,22
19,24
19,60
19,67
19,70
19,82
19,89
19,97
19,101
19,103
19,113
19,120
19,148
19,195
19,201
19,209
19,214
19,215
19,220
19,222
20,29
20,39
20,49
20,53
20,61
20,62
20,68
20,73
20,75
20,99
20,106
20,107
20,114
20,119
20,138
20,149
20,164
20,178
20,183
20,189
20,190
20,203
20,210
20,211
20,220
21,41
21,45
21,50
21,91
21,108
21,113
21,117
21,123
21,124
21,153
21,166
21,183
21,185
21,209
21,218
22,27
22,31
22,32
22,33
22,38
22,43
22,45
22,47
22,52
22,73
22,102
22,107
22,111
22,116
22,121
22,125
22,130
22,138
22,153
22,194
22,198
22,226
23,27
23,31
23,37
23,39
23,44
23,47
23,58
23,59
23,60
23,65
23,69
23,81
23,86
23,98
23,107
23,117
23,145
23,149
23,150
23,160
23,163
23,164
23,172
23,200
23,213
24,25
24,28
24,37
24,38
24,57
24,72
24,75
24,79
24,83
24,92
24,95
24,105
24,108
24,110
24,111
24,121
24,134
24,135
24,156
24,173
24,174
24,180
24,187
24,190
24,195
24,201
24,203
24,214
24,226
24,227
